Time,TZ,BL1.5LBA50CF1oo2_2JT01TValue,BL1.5LBA50CF1oo2_1JT01TValue,BL1.5LBA50CF1oo2_1oo2_JT01TValue,BL1.5LBA60CF1oo2_1oo2_JT01TValue,BL1.5LBA60CF1oo2_2JT01TValue,BL1.5LBA60CF1oo2_1JT01TValue,BL1.4LBB10FP905_ZE02U,BL1.4LBB10FP905_ZE01U,BL1.4LBB10FT905_ZE01U,BL1.BOP_5MAC10CP001_AI_JT01TValue,BL1.BOP_5MAC10CT001_AI_JT01TValue,BL1.BOP_5MAC20CP001_AI_JT01TValue,BL1.BOP_5MAC20CT001_AI_JT01TValue,BL1.BOP_5MAC30CP001_AI_JT01TValue,BL1.BOP_5MAC30CT001_AI_JT01TValue,BL1.BOP_5MAC40CP001_AI_JT01TValue,BL1.BOP_5MAC40CT001_AI_JT01TValue,BL1.4MAC10FT950_ZE01U,BL1.4MAM10CP010_XE01U,BL1.5LCA10FP920_ZE02U
#!Units,,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,barg,Bar,deg C,bar,deg C,bar,deg C,bar,deg C,bar,deg C,deg C,barg,bara
#!Description,Time Zone Information,FLOW AT SUPERHEATER 1 OUTPUT,FLOW AT SUPERHEATER 1 OUTPUT,FLOW AT SUPERHEATER 1 OUTPUT,FLOW AT SUPERHEATER 2 OUTPUT,FLOW AT SUPERHEATER 2 OUTPUT,FLOW AT SUPERHEATER 2 OUTPUT,LPT Pressure Inlet Steam,LPT Pressure LP Inlet Steam,LPT Inlet Steam Temperature ,PRESSURE FROM EXHAUST LP TURBINE TO DEAERATOR,TEMPERATURE FROM EXHAUST LP TURBINE TO DEAERATOR,PRESSURE FROM EXHAUST LP TURBINE TO LP3 PREHEATERS,TEMPERATURE FROM EXHAUST LP TURBINE TO LP3 PREHEATERS,LP ST EXTRACTION TO LP PREHEATER 2 PRESSURE,LP ST EXTRACTION TO LP PREHEATER 2 TEMPERATURE,LP ST EXTRACTION TO LP PREHEATER 1 PRESSURE,LP ST EXTRACTION TO LP PREHEATER 1 TEMPERATURE,LPT Exhaust Temperature,Pressure Leak Off Steam,Condenser Pressure
18:00.0,+02:00,29.9938,30.2483,30.1211,29.2442,29.1982,29.2902,16.9972,16.9999,383.1439,9.9793,279.7852,3.6024,242.5926,0.6748,116.0424,-0.1937,75.0456,36.2729,-0.0425,0.0605
19:00.0,+02:00,29.9795,30.2128,30.0961,29.2626,29.2166,29.3085,16.9212,16.9266,382.9974,9.8888,281.4128,3.5324,241.9792,0.6522,115.6232,-0.2016,74.5247,36.0559,-0.0426,0.06
20:00.0,+02:00,30.0093,30.193,30.1012,29.2483,29.1733,29.3233,16.9538,16.9583,383.1765,9.9008,285.8887,3.528,241.3889,0.6497,115.0459,-0.2032,74.349,36.0125,-0.0425,0.0599
21:00.0,+02:00,30.0237,30.2597,30.1559,29.2556,29.182,29.2952,16.9248,16.9275,383.1927,9.8558,290.8691,3.5308,241.0417,0.652,114.6748,-0.2025,74.3229,36.0125,-0.0421,0.06
22:00.0,+02:00,30.0465,30.2289,30.1377,29.2756,29.2014,29.3472,16.932,16.9366,382.9486,9.9071,296.11,3.5722,241.0533,0.6652,114.613,-0.1975,74.5313,36.121,-0.0422,0.0603
23:00.0,+02:00,30.0667,30.2434,30.1346,29.341,29.2367,29.3768,16.942,16.9456,383.0137,9.9521,298.4375,3.6209,241.4005,0.6809,114.8673,-0.1916,74.8763,36.1101,-0.0425,0.0605
24:00.0,+02:00,30.0193,30.2144,30.1168,29.271,29.2615,29.3606,16.9709,16.9736,382.9811,9.9736,297.2331,3.64,241.9213,0.6867,115.2246,-0.1894,75.1497,36.2295,-0.0426,0.0608
25:00.0,+02:00,30.0691,30.3039,30.1984,29.2856,29.2499,29.3151,16.9655,16.9673,383.0137,9.9647,295.2474,3.64,242.2685,0.687,115.5339,-0.189,75.2148,36.2729,-0.0426,0.0608
26:00.0,+02:00,30.0647,30.3376,30.2011,29.3055,29.2252,29.3866,16.9538,16.9583,382.9323,9.9628,293.4082,3.6381,242.4306,0.6863,115.7331,-0.1892,75.2148,36.2295,-0.0424,0.0606
27:00.0,+02:00,30.0476,30.2767,30.1621,29.3128,29.287,29.4456,16.9348,16.9411,382.9811,9.9483,293.571,3.6263,242.3958,0.6821,115.8019,-0.1905,75.1107,36.1644,-0.0422,0.0605
